Genes	Tools				
ARHGDIG	MAGMA				
INHA	MAGMA				
KLC2	MAGMA				
LOC101927853	MAGMA				
FASTK	MAGMA				
PCDHGB3	MAGMA				
PCDHGC3	MAGMA				
CD164	MAGMA				
MANBA	MAGMA				
TNFRSF6B	MAGMA				
PRAC1	MAGMA				
SEMA3F	MAGMA				
PCBP2	MAGMA				
ARMC4P1	MAGMA				
GDF1	MAGMA				
KRT33A	MAGMA				
LOC101927998	MAGMA				
KDM2B	MAGMA				
PREX1	MAGMA				
OVOL1	MAGMA				
MAPKBP1	MAGMA				
TOMM40	MAGMA				
SYCE2	MAGMA				
COQ4	MAGMA				
VGF	MAGMA				
DMWD	MAGMA				
BTD	MAGMA				
GSTM5	MAGMA				
APOA4	MAGMA				
POMC	MAGMA				
ZNF689	MAGMA				
HOXA11	MAGMA				
DEDD2	MAGMA				
TXNL4B	MAGMA				
KDELR2	MAGMA				
PIGU	MAGMA				
RPL10L	MAGMA				
GFRAL	MAGMA				
NCAN	MAGMA				
RPS25	MAGMA				
TSGA13	MAGMA				
SHOX2	MAGMA				
EIF1AD	MAGMA				
MARS2	MAGMA				
NFKBIA	MAGMA				
FAM117B	MAGMA				
CRTC1	MAGMA				
CPT1A	MAGMA				
AGBL2	MAGMA				
LMO1	MAGMA				
KIF22	MAGMA				
EIF3CL	MAGMA				
JMJD7-PLA2G4B	MAGMA				
PAGR1	MAGMA				
LOC101927160	MAGMA				
LTK	MAGMA				
ARMC5	MAGMA				
MYL6B	MAGMA				
UBTF	MAGMA				
RAB18	MAGMA				
AMPD2	MAGMA				
ACTN1	MAGMA				
HLA-C	MAGMA				
N4BP2L1	MAGMA				
PITPNC1	MAGMA				
SEMA6B	MAGMA				
AKR1A1	MAGMA				
MON1A	MAGMA				
ANKDD1B	MAGMA				
HTR3E	MAGMA				
IFRD2	MAGMA				
SEC61B	MAGMA				
CBLC	MAGMA				
GPR139	MAGMA				
GPX1	MAGMA				
P2RX7	MAGMA				
NARS2	MAGMA				
SNAPC3	MAGMA				
KRTAP9-9	MAGMA				
TREML1	MAGMA				
MAP1LC3B2	MAGMA				
SEC24A	MAGMA				
WRB	MAGMA				
ZSCAN20	MAGMA				
HOXB7	MAGMA				
GSTM2	MAGMA				
TNPO2	MAGMA				
EPHB2	MAGMA				
ZFAND2B	MAGMA				
NFU1	MAGMA				
B4GALNT2	MAGMA				
BHLHE23	MAGMA				
MAP2K3	MAGMA				
CHPF	MAGMA				
ZBTB46	MAGMA				
RFC5	MAGMA				
DDX56	MAGMA				
HACD2	MAGMA				
HNRNPA1	MAGMA				
TMOD3	MAGMA				
PBX2	MAGMA				
CRB1	MAGMA				
LTBP3	MAGMA				
AMHR2	MAGMA				
DDX20	MAGMA				
RELL2	MAGMA				
BAIAP2	MAGMA				
NUDT21	MAGMA				
FKBP2	MAGMA				
NR1D1	MAGMA				
APOC1	MAGMA				
PYCARD	MAGMA				
ENPP3	MAGMA				
ITGAL	MAGMA				
HSPA12A	MAGMA				
PCDHGA3	MAGMA				
TRMT61A	MAGMA				
KAT2B	MAGMA				
C10orf32	MAGMA				
BTAF1	MAGMA				
VEGFB	MAGMA				
AS3MT	MAGMA				
TMEM54	MAGMA				
NRXN2	MAGMA				
SLC6A17	MAGMA				
TTC26	MAGMA				
WBSCR16	MAGMA				
HYAL1	MAGMA				
NLRC3	MAGMA				
FAM212A	MAGMA				
DUSP13	MAGMA				
EYA2	MAGMA				
C15orf61	MAGMA				
AVP	MAGMA				
ANKZF1	MAGMA				
LBR	MAGMA				
DARS2	MAGMA				
DPH1	MAGMA				
SLC44A4	MAGMA				
RRN3	MAGMA				
ANKS1A	MAGMA				
HYAL3	MAGMA				
TSPAN32	MAGMA				
GS1-259H13.2	MAGMA				
DNASE1	MAGMA				
FIBP	MAGMA				
IL12RB1	MAGMA				
SLC5A11	MAGMA				
CHST8	MAGMA				
SLC22A18AS	MAGMA				
RPL10A	MAGMA				
TLX3	MAGMA				
MYL4	MAGMA				
RNF25	MAGMA				
CHRNE	MAGMA				
MED20	MAGMA				
LAMA2	MAGMA				
NFE2	MAGMA				
REC114	MAGMA				
TMEM160	MAGMA				
MBNL2	MAGMA				
TAF4B	MAGMA				
GAL3ST3	MAGMA				
RAP1A	MAGMA				
ERI1	MAGMA				
LOC100133267	MAGMA				
KRTAP9-3	MAGMA				
ATXN7L2	MAGMA				
SLC6A4	MAGMA				
CLHC1	MAGMA				
AMBRA1	MAGMA				
TMOD4	MAGMA				
PTRHD1	MAGMA				
ZNF764	MAGMA				
ZNF843	MAGMA				
TPD52L2	MAGMA				
PTK2B	MAGMA				
SDCCAG8	MAGMA				
SDHB	MAGMA				
RHOF	MAGMA				
L3MBTL2	MAGMA				
PLIN4	MAGMA				
PKD1	MAGMA				
HES5	MAGMA				
ZFP3	MAGMA				
GNAI2	MAGMA				
SFXN2	MAGMA				
VEPH1	MAGMA				
PHKG2	MAGMA				
FGFBP3	MAGMA				
LOC101929519	MAGMA				
CROCC	MAGMA				
PTPN12	MAGMA				
TMEM60	MAGMA				
SLC22A18	MAGMA				
NOS1	MAGMA				
PKD2	MAGMA				
ACTL7B	MAGMA				
ARPP21	MAGMA				
NR1H3	MAGMA				
ACACA	MAGMA				
KIAA1683	MAGMA				
CREB3L3	MAGMA				
SP6	MAGMA				
SCYL1	MAGMA				
GABPB2	MAGMA				
SYNGR3	MAGMA				
C7orf26	MAGMA				
ZCCHC4	MAGMA				
KRTAP4-3	MAGMA				
FAM150B	MAGMA				
DDX27	MAGMA				
ANKRD10	MAGMA				
TTLL6	MAGMA				
SYT2	MAGMA				
MDH1	MAGMA				
PPP3R2	MAGMA				
APOC3	MAGMA				
APEH	MAGMA				
RAPH1	MAGMA				
PCYT1A	MAGMA				
LOC728392	MAGMA				
ALK	MAGMA				
NPAS1	MAGMA				
MINK1	MAGMA				
FRRS1L	MAGMA				
GON4L	MAGMA				
FAM89B	MAGMA				
KRTAP4-6	MAGMA				
HBEGF	MAGMA				
UBA7	MAGMA				
LMBRD1	MAGMA				
KRTAP1-4	MAGMA				
USP49	MAGMA				
CYP21A2	MAGMA				
IQCH	MAGMA				
ACBD5	MAGMA				
TIPARP	MAGMA				
SPRYD4	MAGMA				
DHRS7C	MAGMA				
EXD2	MAGMA				
PCDHGA7	MAGMA				
TRIM72	MAGMA				
CKB	MAGMA				
TEAD3	MAGMA				
TRMT112	MAGMA				
NOVA2	MAGMA				
ACOX1	MAGMA				
A3GALT2	MAGMA				
EFNA4	MAGMA				
CLPTM1	MAGMA				
LOC100128905	MAGMA				
ZNHIT1	MAGMA				
KRTAP3-2	MAGMA				
ELF3	MAGMA				
COPZ2	MAGMA				
URI1	MAGMA				
C1orf56	MAGMA				
CTSW	MAGMA				
ANGPTL7	MAGMA				
COPZ1	MAGMA				
MRPL28	MAGMA				
SND1	MAGMA				
NPIPB8	MAGMA				
CNGB3	MAGMA				
DHX33	MAGMA				
CCHCR1	MAGMA				
SYPL2	MAGMA				
ZSCAN26	MAGMA				
FAM216A	MAGMA				
HOXB3	MAGMA				
APMAP	MAGMA				
RASGRP2	MAGMA				
ARHGEF2	MAGMA				
LRRC4	MAGMA				
TSC2	MAGMA				
ETS2	MAGMA				
SCN4A	MAGMA				
PRDX1	MAGMA				
EHMT2	MAGMA				
ACP2	MAGMA				
ECE2	MAGMA				
CASC3	MAGMA				
GTF3A	MAGMA				
MAU2	MAGMA				
POU4F1	MAGMA				
ERAP1	MAGMA				
PLCH2	MAGMA				
GIP	MAGMA				
CDX2	MAGMA				
ADGRL2	MAGMA				
C4A	MAGMA				
ACTR1A	MAGMA				
HOXB13	MAGMA				
PPARG	MAGMA				
AEBP2	MAGMA				
ORMDL3	MAGMA				
PRDM4	MAGMA				
DMPK	MAGMA				
RHOA	MAGMA				
KIFC1	MAGMA				
RAB26	MAGMA				
NUPR1	MAGMA				
DCTN3	MAGMA				
ZWILCH	MAGMA				
HTR3C	MAGMA				
KRTAP17-1	MAGMA				
RBMS2	MAGMA				
ANKS6	MAGMA				
TRIM65	MAGMA				
MEF2BNB-MEF2B	MAGMA				
GLB1L	MAGMA				
TP53INP2	MAGMA				
MYL6	MAGMA				
MASTL	MAGMA				
ZNF771	MAGMA				
LIPH	MAGMA				
RNF103	MAGMA				
CENPO	MAGMA				
TSHZ2	MAGMA				
RPL22L1	MAGMA				
PPTC7	MAGMA				
OTX1	MAGMA				
DNAJC3	MAGMA				
DYM	MAGMA				
PTGFR	MAGMA				
TMEM8A	MAGMA				
LRRC25	MAGMA				
TUBA1B	MAGMA				
LRRC43	MAGMA				
SSR3	MAGMA				
MPND	MAGMA				
TRAT1	MAGMA				
LY6G6C	MAGMA				
FGF19	MAGMA				
CTF1	MAGMA				
ZBTB43	MAGMA				
IP6K3	MAGMA				
ATP5J2-PTCD1	MAGMA				
ANXA9	MAGMA				
NR5A1	MAGMA				
SRR	MAGMA				
ATP2A1	MAGMA				
KIAA1524	MAGMA				
CPA2	MAGMA				
JMJD7	MAGMA				
ERN2	MAGMA				
NR2C2AP	MAGMA				
CKS1B	MAGMA				
ANAPC7	MAGMA				
ZDHHC4	MAGMA				
INS-IGF2	MAGMA				
PEAK1	MAGMA				
LEPROT	MAGMA				
CUEDC2	MAGMA				
DYNLL2	MAGMA				
MYBPC3	MAGMA				
CDC42SE1	MAGMA				
C17orf107	MAGMA				
HPR	MAGMA				
CLCN2	MAGMA				
SLC22A11	MAGMA				
POC1B-GALNT4	MAGMA				
RAB27B	MAGMA				
ENDOV	MAGMA				
LUC7L	MAGMA				
ZNF76	MAGMA				
KRTAP9-6	MAGMA				
QPCTL	MAGMA				
CRB2	MAGMA				
AKTIP	MAGMA				
MPV17L2	MAGMA				
WWC1	MAGMA				
CLDN23	MAGMA				
FKBPL	MAGMA				
NAT6	MAGMA				
DRD2	MAGMA				
UNC13D	MAGMA				
PRUNE	MAGMA				
EXOC3L2	MAGMA				
PPP1R3B	MAGMA				
RNF19B	MAGMA				
SAMD8	MAGMA				
CALR	MAGMA				
PCDHGC4	MAGMA				
DES	MAGMA				
HLA-DMB	MAGMA				
CERS1	MAGMA				
XRCC3	MAGMA				
HOXA10	MAGMA				
ITPKA	MAGMA				
PIP5K1A	MAGMA				
GH2	MAGMA				
CSF3	MAGMA				
ABCE1	MAGMA				
MMACHC	MAGMA				
UNK	MAGMA				
RAD52	MAGMA				
EDNRB	MAGMA				
SLIT3	MAGMA				
FAM167A	MAGMA				
RHEBL1	MAGMA				
RCVRN	MAGMA				
TCTN1	MAGMA				
PHC2	MAGMA				
PPP2R5C	MAGMA				
GPN3	MAGMA				
PDILT	MAGMA				
TFAP2D	MAGMA				
RPS26	MAGMA				
TMUB2	MAGMA				
LOC101060391	MAGMA				
TRPT1	MAGMA				
CWC27	MAGMA				
MAP6D1	MAGMA				
HARBI1	MAGMA				
NICN1	MAGMA				
EIF5A2	MAGMA				
DDAH2	MAGMA				
RAB11FIP3	MAGMA				
FGF4	MAGMA				
VPS11	MAGMA				
GPR45	MAGMA				
PARP6	MAGMA				
FAM220A	MAGMA				
FBXO5	MAGMA				
ZDHHC19	MAGMA				
NOX4	MAGMA				
NPIPA1	MAGMA				
DPH6	MAGMA				
GALNT12	MAGMA				
POMGNT1	MAGMA				
KRTAP4-2	MAGMA				
CRLF1	MAGMA				
NRG2	MAGMA				
COL4A3BP	MAGMA				
PRR15L	MAGMA				
VPS37D	MAGMA				
MADD	MAGMA				
SLC4A2	MAGMA				
STK33	MAGMA				
HSPA1A	MAGMA				
SUGP1	MAGMA				
TCTEX1D2	MAGMA				
PCDHGB2	MAGMA				
LCTL	MAGMA				
CISD2	MAGMA				
ABCG4	MAGMA				
BHMG1	MAGMA				
LRRC3C	MAGMA				
PLCD4	MAGMA				
KCNH6	MAGMA				
RBL2	MAGMA				
PPIA	MAGMA				
PRKAG3	MAGMA				
CSE1L	MAGMA				
LACE1	MAGMA				
ARFGAP2	MAGMA				
ATG13	MAGMA				
PMFBP1	MAGMA				
PRSS3	MAGMA				
DEF6	MAGMA				
GPR149	MAGMA				
ERICH3	MAGMA				
RETNLB	MAGMA				
SEMA3B	MAGMA				
ASB16	MAGMA				
RIOK3	MAGMA				
ANKRD24	MAGMA				
GID8	MAGMA				
PCDHGA12	MAGMA				
ARHGAP19	MAGMA				
TTC7A	MAGMA				
ATG9A	MAGMA				
ELP3	MAGMA				
BRINP1	MAGMA				
SLC35C2	MAGMA				
ARAP3	MAGMA				
MST1	MAGMA				
H2AFX	MAGMA				
DEFB135	MAGMA				
GOSR1	MAGMA				
NANP	MAGMA				
PLOD3	MAGMA				
TMEM63B	MAGMA				
TYRO3	MAGMA				
RSPH10B2	MAGMA				
RNF5	MAGMA				
HYDIN	MAGMA				
MMEL1	MAGMA				
LOC100134391	MAGMA				
MYLPF	MAGMA				
UBAP1	MAGMA				
SLC35E2B	MAGMA				
DYNLRB1	MAGMA				
CSH1	MAGMA				
ATG16L2	MAGMA				
SKIV2L	MAGMA				
ORAOV1	MAGMA				
PRR14	MAGMA				
MSANTD3-TMEFF1	MAGMA				
SIGMAR1	MAGMA				
SLC35G5	MAGMA				
AMIGO1	MAGMA				
ATG9B	MAGMA				
SLC9B2	MAGMA				
RFXANK	MAGMA				
NUDT3	MAGMA				
ANKRD31	MAGMA				
CCND3	MAGMA				
IL27	MAGMA				
MAZ	MAGMA				
RSPH6A	MAGMA				
FOXA3	MAGMA				
RSBN1L	MAGMA				
PVRL2	MAGMA				
ZNF629	MAGMA				
GALNT4	MAGMA				
EPHX2	MAGMA				
USP37	MAGMA				
CORO6	MAGMA				
PTPN7	MAGMA				
KIF3B	MAGMA				
TMEM265	MAGMA				
KRTAP1-1	MAGMA				
MTMR9	MAGMA				
CASKIN1	MAGMA				
NANOS2	MAGMA				
FAM131A	MAGMA				
DPH3P1	MAGMA				
PP2D1	MAGMA				
MAST1	MAGMA				
MVP	MAGMA				
KRTAP16-1	MAGMA				
TSGA10IP	MAGMA				
BCL7C	MAGMA				
FXR1	MAGMA				
SF1	MAGMA				
ZNF316	MAGMA				
CCDC68	MAGMA				
ACSM5	MAGMA				
LY6G5C	MAGMA				
HSD3B7	MAGMA				
DNAJC6	MAGMA				
ACE	MAGMA				
ITGAM	MAGMA				
EML2	MAGMA				
DHFRL1	MAGMA				
SLC37A4	MAGMA				
TAGLN	MAGMA				
CPA1	MAGMA				
PPT2	MAGMA				
ZBTB37	MAGMA				
WBP1L	MAGMA				
PCDHGA2	MAGMA				
PPP1R2	MAGMA				
ACSS1	MAGMA				
GIT1	MAGMA				
TUBA4A	MAGMA				
ZNF394	MAGMA				
HPD	MAGMA				
SYNDIG1	MAGMA				
SREK1IP1	MAGMA				
EEF2	MAGMA				
SMYD4	MAGMA				
R3HCC1L	MAGMA				
MEN1	MAGMA				
GPR65	MAGMA				
TCP11	MAGMA				
SS18	MAGMA				
C11orf21	MAGMA				
NPFF	MAGMA				
LOC100652807	MAGMA				
TYW3	MAGMA				
LURAP1	MAGMA				
TBX4	MAGMA				
HSPE1-MOB4	MAGMA				
KRTAP4-5	MAGMA				
LOC100506944	MAGMA				
PMEL	MAGMA				
CHP2	MAGMA				
LY6G6D	MAGMA				
MYH15	MAGMA				
FBXL15	MAGMA				
TBCC	MAGMA				
ERICH2	MAGMA				
STX17	MAGMA				
DUSP6	MAGMA				
ADGRB3	MAGMA				
GMPPB	MAGMA				
KLF7	MAGMA				
C17orf58	MAGMA				
LIME1	MAGMA				
MAPK6	MAGMA				
FRMD8	MAGMA				
DNASE2	MAGMA				
MSH5	MAGMA				
KIAA0907	MAGMA				
IGF2	MAGMA				
CCDC182	MAGMA				
NUCB2	MAGMA				
SENP2	MAGMA				
PLXDC2	MAGMA				
GRID2IP	MAGMA				
ASCL4	MAGMA				
NFIX	MAGMA				
KRTAP9-8	MAGMA				
EIF5	MAGMA				
SEPSECS	MAGMA				
NFIB	MAGMA				
PSORS1C1	MAGMA				
LPA	MAGMA				
COL4A4	MAGMA				
UQCC2	MAGMA				
NPC1L1	MAGMA				
PACSIN1	MAGMA				
FNBP4	MAGMA				
STIL	MAGMA				
CBL	MAGMA				
KRTAP3-1	MAGMA				
RPL5	MAGMA				
LSM5	MAGMA				
MGA	MAGMA				
GPR4	MAGMA				
IRF2BP1	MAGMA				
ODF3L1	MAGMA				
ATP6V1E2	MAGMA				
FLT3	MAGMA				
MT4	MAGMA				
ZNF451	MAGMA				
SYMPK	MAGMA				
SEMA6C	MAGMA				
NUP160	MAGMA				
ACSM2A	MAGMA				
ERBB3	MAGMA				
SDK1	MAGMA				
FAM46A	MAGMA				
AP5B1	MAGMA				
PLA2G15	MAGMA				
MOK	MAGMA				
CCDC101	MAGMA				
SLC4A9	MAGMA				
FIGNL1	MAGMA				
JUNB	MAGMA				
ENTPD4	MAGMA				
NAT16	MAGMA				
LOC101929185	MAGMA				
CYP27A1	MAGMA				
DCTPP1	MAGMA				
INTS9	MAGMA				
ZBTB9	MAGMA				
SPDEF	MAGMA				
ZSCAN25	MAGMA				
ZNF526	MAGMA				
PABPC4	MAGMA				
TTC34	MAGMA				
TMEM245	MAGMA				
ARL14EP	MAGMA				
SRSF1	MAGMA				
RPA1	MAGMA				
RAB29	MAGMA				
IFI30	MAGMA				
DDN	MAGMA				
CORO1A	MAGMA				
LOC101928120	MAGMA				
C19orf12	MAGMA				
GLTSCR1L	MAGMA				
CST6	MAGMA				
GPSM3	MAGMA				
GADD45GIP1	MAGMA				
SLC27A4	MAGMA				
MTRF1L	MAGMA				
C6orf229	MAGMA				
EFEMP2	MAGMA				
TSNARE1	MAGMA				
PCDHGB5	MAGMA				
CD19	MAGMA				
CEBPG	MAGMA				
TNS4	MAGMA				
FAM69A	MAGMA				
IQSEC1	MAGMA				
PLAGL2	MAGMA				
NEXN	MAGMA				
VWA7	MAGMA				
CRYZ	MAGMA				
TAS1R1	MAGMA				
WBP2	MAGMA				
CASZ1	MAGMA				
ANKRD29	MAGMA				
HOXB6	MAGMA				
VAMP3	MAGMA				
STAP2	MAGMA				
KIF1C	MAGMA				
CTDSP1	MAGMA				
PARL	MAGMA				
PAX8	MAGMA				
SIDT2	MAGMA				
SCAMP1	MAGMA				
FEZF2	MAGMA				
RPL27A	MAGMA				
OGFR	MAGMA				
DDC	MAGMA				
KRTAP2-3	MAGMA				
CSH2	MAGMA				
PADI2	MAGMA				
WRN	MAGMA				
ADSL	MAGMA				
ANAPC5	MAGMA				
LNX2	MAGMA				
ERP44	MAGMA				
RIT1	MAGMA				
POLR2H	MAGMA				
ERF	MAGMA				
ARL3	MAGMA				
AAGAB	MAGMA				
PRDX2	MAGMA				
SALL4	MAGMA				
NOTCH4	MAGMA				
NSRP1	MAGMA				
GCNT4	MAGMA				
TMEM17	MAGMA				
SKIDA1	MAGMA				
CDKN1C	MAGMA				
OPRM1	MAGMA				
TMEM198	MAGMA				
ACTB	MAGMA				
KCNC4	MAGMA				
TSPAN1	MAGMA				
AQP5	MAGMA				
KRTAP4-1	MAGMA				
CEP41	MAGMA				
GBF1	MAGMA				
C3orf18	MAGMA				
RNASEH2A	MAGMA				
SUFU	MAGMA				
RBMS3	MAGMA				
SSSCA1	MAGMA				
ALG3	MAGMA				
BEND6	MAGMA				
RNF40	MAGMA				
NOL9	MAGMA				
MRPL21	MAGMA				
SMG6	MAGMA				
PSORS1C2	MAGMA				
PEX10	MAGMA				
KLC1	MAGMA				
AMN	MAGMA				
CIZ1	MAGMA				
GPR137	MAGMA				
UBXN6	MAGMA				
TBC1D10B	MAGMA				
PTCHD3	MAGMA				
ZFYVE21	MAGMA				
BEST2	MAGMA				
MDN1	MAGMA				
SLC45A3	MAGMA				
CTNNAL1	MAGMA				
RPL41	MAGMA				
DRAP1	MAGMA				
CDK5	MAGMA				
KIAA2013	MAGMA				
CPA5	MAGMA				
HLA-B	MAGMA				
WSB2	MAGMA				
PKM	MAGMA				
C19orf60	MAGMA				
HSPA1B	MAGMA				
CEP295NL	MAGMA				
ARFGEF1	MAGMA				
CAMKV	MAGMA				
TRAPPC4	MAGMA				
COX6A2	MAGMA				
GPANK1	MAGMA				
PPP2R3C	MAGMA				
CFB	MAGMA				
VWA5B2	MAGMA				
UBIAD1	MAGMA				
CDC42BPB	MAGMA				
NPTX1	MAGMA				
CYB561D1	MAGMA				
SGSM2	MAGMA				
ZC3H10	MAGMA				
NDUFS5	MAGMA				
POFUT1	MAGMA				
1-Sep	MAGMA				
LYSMD1	MAGMA				
C6orf25	MAGMA				
TSR1	MAGMA				
MEF2BNB	MAGMA				
MYPOP	MAGMA				
TMEM126B	MAGMA				
DPY19L4	MAGMA				
HEMK1	MAGMA				
GMNN	MAGMA				
FAM159B	MAGMA				
EFNA3	MAGMA				
FBXO45	MAGMA				
GRM4	MAGMA				
LRP4	MAGMA				
SIK3	MAGMA				
KSR2	MAGMA				
RRAGD	MAGMA				
EIF2S2	MAGMA				
CKAP5	MAGMA				
TTC17	MAGMA				
KRTAP9-7	MAGMA				
GH1	MAGMA				
PFN1	MAGMA				
HPS5	MAGMA				
GNAT2	MAGMA				
TIMP2	MAGMA				
ITGB3	MAGMA				
CARF	MAGMA				
GTF2IRD1	MAGMA				
KRTAP9-4	MAGMA				
PIGW	MAGMA				
SAE1	MAGMA				
CERS2	MAGMA				
C1orf127	MAGMA				
PLAC4	MAGMA				
AMT	MAGMA				
PRSS8	MAGMA				
RASL11A	MAGMA				
DIS3L	MAGMA				
CERCAM	MAGMA				
LCN2	MAGMA				
CACNA2D4	MAGMA				
VIPR1	MAGMA				
FANCE	MAGMA				
FBXL18	MAGMA				
MKL1	MAGMA				
FREM1	MAGMA				
IFT57	MAGMA				
TBC1D29	MAGMA				
IL20RB	MAGMA				
PRSS36	MAGMA				
SERPINC1	MAGMA				
SPAG7	MAGMA				
KCTD21	MAGMA				
TACO1	MAGMA				
DOCK3	MAGMA				
ZNF385A	MAGMA				
NR1I2	MAGMA				
FEZ2	MAGMA				
C6orf47	MAGMA				
SLC9B1	MAGMA				
IGIP	MAGMA				
APOA1	MAGMA				
SEPHS2	MAGMA				
PYGM	MAGMA				
PRICKLE1	MAGMA				
ZNFX1	MAGMA				
KCNK5	MAGMA				
ZNF12	MAGMA				
PANK4	MAGMA				
PLA2G4B	MAGMA				
L1TD1	MAGMA				
DNER	MAGMA				
DLX1	MAGMA				
CCDC67	MAGMA				
DPAGT1	MAGMA				
GEM	MAGMA				
ATCAY	MAGMA				
TM4SF19	MAGMA				
ALKBH3	MAGMA				
TESC	MAGMA				
TM6SF2	MAGMA				
PARD3	MAGMA				
DHODH	MAGMA				
ATP2A2	MAGMA				
LGR4	MAGMA				
PRRT2	MAGMA				
PCDHGA6	MAGMA				
PRSS53	MAGMA				
C1orf234	MAGMA				
UBE2D2	MAGMA				
ZGPAT	MAGMA				
SDCBP2	MAGMA				
HOXB2	MAGMA				
RUNDC3A	MAGMA				
CISH	MAGMA				
E2F3	MAGMA				
TNFAIP8L2	MAGMA				
PHTF2	MAGMA				
CUTA	MAGMA				
HEYL	MAGMA				
ADCY9	MAGMA				
CALML6	MAGMA				
TM4SF5	MAGMA				
G6PC3	MAGMA				
PNPO	MAGMA				
NT5C1A	MAGMA				
SUOX	MAGMA				
FKBP1A	MAGMA				
SCNM1	MAGMA				
ABCB8	MAGMA				
TMED4	MAGMA				
NPAS3	MAGMA				
FOSL1	MAGMA				
PCDHGB1	MAGMA				
C17orf51	MAGMA				
URM1	MAGMA				
CLN3	MAGMA				
STX4	MAGMA				
MYBPHL	MAGMA				
TNFAIP8L2-SCNM1	MAGMA				
ZAK	MAGMA				
TRAP1	MAGMA				
WAPAL	MAGMA				
PYDC1	MAGMA				
TRIM8	MAGMA				
SAR1B	MAGMA				
BOLA2B	MAGMA				
KAT6B	MAGMA				
PEPD	MAGMA				
SLC51A	MAGMA				
GLS2	MAGMA				
GATA4	MAGMA				
VDAC2	MAGMA				
WDR66	MAGMA				
VHL	MAGMA				
PRKAG1	MAGMA				
IGF2BP1	MAGMA				
ABHD16A	MAGMA				
ATP5G1	MAGMA				
FCHSD1	MAGMA				
CAMK2N2	MAGMA				
FLRT1	MAGMA				
KLHL24	MAGMA				
IL11RA	MAGMA				
ITPR3	MAGMA				
DNAJC19	MAGMA				
SNRPD2	MAGMA				
TPX2	DEPICT				
PLEKHG4	DEPICT				
KCTD10	DEPICT				
ZNF518B	DEPICT				
CTNNB1	DEPICT				
GCFC1	DEPICT				
OIP5	DEPICT				
C1orf183	DEPICT				
KCNH3	DEPICT				
CTC-436K13.5Ê	DEPICT				
UBE3B	DEPICT				
USP33	DEPICT				
POLE	DEPICT				
C20orf11	DEPICT				
BNIP3L	DEPICT				
LINC00599	DEPICT				
PRPF40B	DEPICT				
INO80	DEPICT				
ATPBD4	DEPICT				
FAM13B	DEPICT				
EPM2AIP1	DEPICT				
MAP4	DEPICT				
ATP6V0D1	DEPICT				
ODZ2	DEPICT				
FAM5C	DEPICT				
MCRS1	DEPICT				
DHX30	DEPICT				
MIR548N	DEPICT				
DUSP26	DEPICT				
FAM53C	DEPICT				
TNKS	DEPICT				
KDM3B	DEPICT				
C9orf4	DEPICT				
CBFB	DEPICT				
FMNL3	DEPICT				
FHOD1	DEPICT				
FLJ20373	DEPICT				
PAFAH1B2	DEPICT				
RP11-261C10.3	DEPICT				
SOX2-OT	DEPICT				
ZSWIM5	DEPICT				
SYNJ1	DEPICT				
FAM190A	DEPICT				
SCRIB	DEPICT				
KIF20A	DEPICT				
PLEKHM2	DEPICT				
NUSAP1	DEPICT				
