Genes	Tools				
ZFP64	DEPICT MAGMA Nearest				
MAP2K1	DEPICT MAGMA Nearest				
CDKAL1	DEPICT MAGMA Nearest				
GLTPD2	FINEMAP MAGMA				
PLD2	FINEMAP MAGMA				
VMO1	FINEMAP MAGMA				
TMUB1	FINEMAP MAGMA				
PYGO2	FINEMAP MAGMA				
TBL2	FINEMAP MAGMA				
CCDC84	FINEMAP MAGMA				
LENEP	FINEMAP MAGMA				
FLAD1	FINEMAP MAGMA				
BRINP2	FINEMAP MAGMA				
DCP1B	FINEMAP MAGMA				
ADAM15	FINEMAP MAGMA				
MST1L	SMR TWAS				
STAG3L1	SMR TWAS				
DNALI1	MSC TWAS				
C1orf222	MSC TWAS				
CBLN1	Nearest TWAS				
FARP1	MAGMA TWAS				
STAU2	MAGMA TWAS				
GSDMA	MAGMA TWAS				
CAMTA1	MAGMA TWAS				
ZNF605	MAGMA TWAS				
UBE2W	MAGMA TWAS				
SULT1A2	MAGMA TWAS				
TMEM241	MAGMA TWAS				
BMP8A	MAGMA TWAS				
FBF1	MAGMA TWAS				
ZNF362	MAGMA TWAS				
USP35	MAGMA TWAS				
FAM180B	MAGMA TWAS				
GALNT10	MAGMA TWAS				
TRIM47	MAGMA TWAS				
NPIPB9	MAGMA TWAS				
THUMPD3	MAGMA TWAS				
TRIM73	MAGMA TWAS				
LAT	MAGMA TWAS				
PI4K2B	MAGMA TWAS				
CDK5RAP3	MAGMA TWAS				
SCG3	MAGMA TWAS				
RTBDN	MAGMA TWAS				
NDUFS3	MAGMA TWAS				
MTCH2	MAGMA TWAS				
RNF123	MAGMA TWAS				
IQCK	MAGMA TWAS				
TRMT61B	MAGMA TWAS				
SGCB	MAGMA TWAS				
SULT1A1	MAGMA TWAS				
C1QTNF4	MAGMA TWAS				
MYO19	MAGMA TWAS				
GTF2IRD2	MAGMA TWAS				
NFATC2IP	MAGMA TWAS				
NT5C2	MAGMA TWAS				
SLC25A12	MAGMA TWAS				
PCED1A	MAGMA SMR				
MRM1	MAGMA SMR				
ZBTB7B	MAGMA SMR				
PSMA6	MAGMA SMR				
TEX40	MAGMA SMR				
PRDX5	MAGMA SMR				
MRPS26	MAGMA SMR				
KCNK4	MAGMA SMR				
MEAF6	DEPICT SMR				
HES1	Nearest PoPS				
POLG	Nearest PoPS				
CDH8	Nearest PoPS				
TCF4	Nearest PoPS				
RBM26	Nearest PoPS				
EPHA7	Nearest PoPS				
PDE3A	Nearest PoPS				
MCTP2	Nearest PoPS				
GLRA1	Nearest PoPS				
